,User,Follows_Count,Language,Date_Tweet,Source_of_Tweet,Tweet,Hashtags,Place
8577,KiaraBlu,482,en,2010-06-28 23:56:02+00:00,Twitter Web Client,Go #BlackStars!! ---&gt; Boateng to be fit for next game – http://bit.ly/cSOVWa #News  via @FreshNews_Ghana  #WorldCup,"['BlackStars', 'News', 'WorldCup']",
8578,theRab,8542,en,2010-06-28 23:56:00+00:00,SocialEngage,The live-blogging coverage of #WorldCup football matches on NYT and @nytimesgoal is really cool http://nyti.ms/bQRYT2,['WorldCup'],
8579,MattCundill,4096,en,2010-06-28 23:55:49+00:00,Twitter for iPhone,Go Dutch!!! Who doesn't like Orange Crush in the summer? “@AceBurpeeShow: #WorldCup to cheer for another team. Suggestions welcome. Hit me!”,['WorldCup'],
8580,hellomotow8,323,en,2010-06-28 23:55:49+00:00,Twitter Web Client,Just completed http://www.worldshardestgame3.com ! #swapawordinafilmformartinamis Deathly Hallows #worldcup Fonzworth Bentley Martin Amis,"['swapawordinafilmformartinamis', 'worldcup']",
8581,ticketzz,2630,en,2010-06-28 23:55:37+00:00,SocialOomph,The 2010 World Cup Uruguay~ Tickets on sale * http://bit.ly/9kO3U9 go to the game 01TG #FIFA #WorldCup #tickets,"['FIFA', 'WorldCup', 'tickets']",
8582,janettejayaa,607,en,2010-06-28 23:55:35+00:00,Twitter Web Client,"RT @ihatequotes: Round of 16: #NED 2 : 1 #SVK - #NED GO BIG to Round of 8, #SVK GO HOME! #WorldCup","['NED', 'SVK', 'NED', 'SVK', 'WorldCup']",
8583,IheartJustin03,0,en,2010-06-28 23:55:34+00:00,Twitter Web Client,Bustin was always licensed to drive me!!  http://url.co.uk/0rp6ly #worldcup Laranja Mecâca Daniel Alves Mick Jagger CHILE CTM,['worldcup'],
8584,diniaaaa,347,en,2010-06-28 23:55:28+00:00,Twitter Web Client,#esp to win #worldcup yeiiiiiiiiiiiiiiiiiiiiiiii,"['esp', 'worldcup']",
8585,defstef98,1760,en,2010-06-28 23:55:27+00:00,Twitter Web Client,"Chill: (slang) relax, take it easy. (chill&gt; ficar frio, não se estressar) Brazil put the boys from Santiago 2 Chil(e) #worldcup",['worldcup'],
8586,onajohn,509,en,2010-06-28 23:55:27+00:00,Twitter Web Client,@2ucebetta Netherlands vs Spain.  Either that or Japan vs Ghana... Okay just kidding on the last one. #worldcup,['worldcup'],
8587,hellomotow28,14,en,2010-06-28 23:55:26+00:00,Twitter Web Client,Just completed http://www.worldshardestgame3.com ! Deathly Hallows #swapawordinafilmformartinamis Venha Holanda Felipe Melo #worldcup,"['swapawordinafilmformartinamis', 'worldcup']",
8588,hellomotow8,323,en,2010-06-28 23:55:26+00:00,Twitter Web Client,Addicted to http://www.worldshardestgame3.com #worldcup Martin Amis #rappersbetterthansouljaboy Steve Carell Venha Holanda,"['worldcup', 'rappersbetterthansouljaboy']",
